Feature,Mean,Std Dev,Min Val,Max Val,25 Percentile,50 Percentile,75 Percentile
896,-0.12044080147058821,0.3577030028881855,-1.010418,0.81389,-0.381091,-0.1140485,0.10224349999999999
897,-0.09852329411764707,0.2848622624769634,-0.899293,0.825961,-0.2914825,-0.12469650000000002,0.075898
898,-0.13090260661764705,0.3528026675611254,-1.08614,0.528718,-0.35054275,-0.0823585,0.12550275
899,-0.11089504044117647,0.27434872646444675,-0.676391,0.784478,-0.30476975,-0.137881,0.034385
900,-0.07767389705882354,0.23139229563825023,-0.673442,1.5884,-0.19522299999999998,-0.1010045,0.008295
901,-0.1754252463235294,0.40481328419442203,-1.165016,0.895849,-0.45268925,-0.1322655,0.10171425
902,-0.28563946691176473,0.4161379741406287,-1.256375,1.351121,-0.56436,-0.3566125,-0.12108525
903,-0.17705939705882354,0.29153400096315524,-0.850177,1.166007,-0.3744915,-0.24766349999999998,-0.07997525
904,-0.4695551654411765,0.5750719364292596,-1.382801,1.282056,-0.892907,-0.6621275,-0.07868
905,-0.1495503088235294,0.3309404626488065,-0.905537,0.965,-0.36010074999999997,-0.196411,0.01316125
906,-0.13418963235294118,0.38224109236371867,-1.517225,0.94557,-0.32694199999999995,-0.11975150000000001,0.071651
907,-0.06187536397058824,0.2539079647546511,-0.907382,0.594647,-0.19186975,-0.057615,0.11964
908,-0.06041918382352942,0.2602729160628858,-0.822412,1.041693,-0.2192605,-0.1062795,0.0405625
909,0.01662234558823529,0.21245814176822808,-2.0,0.60003,-0.029223,0.0239565,0.07594275
910,-0.04427583455882352,0.27664668423619454,-0.847272,0.706951,-0.22520774999999998,-0.036462499999999995,0.1513315
911,-0.06162950367647058,0.2649284166277557,-1.130867,0.497642,-0.2085455,-0.024515000000000002,0.11532475
912,-0.10365167647058823,0.3254111564626941,-0.730396,1.331419,-0.34896374999999996,-0.1349845,0.086231
913,-0.17313181617647058,0.4133711099692044,-1.521812,0.927641,-0.35856999999999994,-0.11583399999999999,0.11564200000000001
914,-0.05908749264705883,0.2535821387587814,-0.760868,1.063664,-0.202669,-0.08159949999999999,0.032036499999999996
915,-0.040787007352941176,0.2673556545390152,-0.903263,0.810897,-0.22705275,-0.0340995,0.129581
916,-0.1234585036764706,0.40638211895802717,-2.0,1.271758,-0.38874025,-0.189806,0.07507725
917,-0.1765608125,0.35908312249336666,-0.878011,1.104995,-0.4475645,-0.2287525,0.045775
918,-0.0613361875,0.2716014900034895,-0.919381,0.698251,-0.25780074999999997,-0.086912,0.1194875
919,-0.1166585330882353,0.26613681078460727,-0.873715,0.832708,-0.28903424999999994,-0.117068,0.0454635
920,-0.004793650735294121,0.21455382062538028,-2.0,0.92495,-0.04224724999999999,0.0101155,0.0515055
921,-0.05226809191176471,0.2487315430086243,-0.900435,0.919893,-0.19670500000000002,-0.08774,0.08445525
922,-0.004892988970588237,0.17424237183109936,-2.0,0.56942,-0.0512405,0.004557,0.0639425
923,-0.18583817647058823,0.2680555523890409,-0.975476,1.560787,-0.31590275,-0.2122785,-0.10027375
924,-0.06365919485294118,0.280681207040166,-0.77067,0.901508,-0.27063400000000004,-0.0781985,0.14208774999999998
925,-0.05328329044117647,0.2615071060912791,-0.596778,0.608337,-0.25856274999999995,-0.0705485,0.1287165
926,-0.26746459191176475,0.38994993719690035,-0.928754,1.111437,-0.5199535,-0.3781375,-0.14968425000000002
927,-0.14592786029411767,0.33819145695814545,-1.009396,1.21265,-0.34402324999999995,-0.2218255,-0.00791025
928,-0.07460929411764707,0.264407530226087,-0.740001,0.795665,-0.25231349999999997,-0.12491000000000001,0.08461975000000001
929,-0.09527671323529412,0.29203796735802856,-0.796388,0.958076,-0.297226,-0.1137925,0.051625
930,-0.06857883088235293,0.25895202746967483,-0.765116,0.877526,-0.2462185,-0.086854,0.061749250000000006
931,-0.006478588235294114,0.2495432001152886,-2.0,2.0,-0.040979,0.0008185,0.04769975
932,-0.2351350698529412,0.37188339576445234,-1.073006,1.339977,-0.46735400000000005,-0.2885765,-0.07845950000000002
933,-0.06964053676470588,0.222138712250394,-0.923411,1.431101,-0.13066825,-0.060427999999999996,-0.0063725
934,0.029051125,0.18481179233137254,-1.33394,0.598416,-0.027750499999999997,0.0319015,0.09600525000000001
935,-0.42507573897058826,0.4752570847186462,-2.0,1.242353,-0.7323105,-0.5101035,-0.2489365
936,-0.22031911397058823,0.3989935154185368,-1.16276,1.123353,-0.494264,-0.2614965,0.0147685
937,-0.16699806250000002,0.3388576840971495,-0.994051,1.120116,-0.336397,-0.233087,-0.06961675
938,-0.057054121323529425,0.27425570061448207,-0.535247,0.825705,-0.2353975,-0.11292250000000001,0.03386525
939,-0.05072313602941177,0.27396797073937557,-0.742745,0.618511,-0.24921424999999997,-0.062185500000000005,0.15041425
940,-0.19942584926470588,0.38138305062599437,-1.429837,0.978995,-0.44816275,-0.286046,0.01137425
941,-0.8428862610294118,0.7542590306912786,-1.868125,1.289895,-1.4616825000000002,-1.09055,-0.29052075
942,-0.2546446139705883,0.34682316090570814,-2.0,1.134325,-0.377008,-0.27579,-0.15252624999999997
943,-0.045396720588235295,0.2757004654898349,-0.641372,0.600366,-0.243719,-0.0564365,0.15143875
944,-0.14775672794117647,0.326373089349274,-0.739871,0.976996,-0.37226225,-0.2414845,0.00175575
945,-0.013382823529411766,0.2207219478669534,-2.0,2.0,-0.0479725,-0.0027995,0.04554950000000001
946,-0.1875767205882353,0.4461949979030154,-1.271537,1.046865,-0.53225025,-0.1728575,0.132633
947,-0.04750414338235293,0.2996044032695043,-0.815296,0.755963,-0.2636545,-0.039106,0.147057
948,-0.06729474632352941,0.2604570724413502,-0.943901,0.714325,-0.22676249999999998,-0.056552,0.0886835
949,-0.03520544852941177,0.2965980745649524,-0.611069,1.722959,-0.23819574999999998,-0.073412,0.119551
950,-0.1578688786764706,0.31563088442136644,-0.947616,0.649369,-0.36346775,-0.2017885,0.01460025
951,-0.0646429117647059,0.2694366042923551,-0.931052,0.65232,-0.25475824999999996,-0.072381,0.09734325
952,-0.09148563235294119,0.2951425625748714,-1.008917,0.791884,-0.249695,-0.07626949999999999,0.10387974999999999
953,-0.09425045220588235,0.27113345826463736,-0.565491,1.143919,-0.268722,-0.1552095,0.031064500000000002
954,0.02165541176470588,0.18219363650375608,-1.237017,2.0,-0.03409625,0.025571,0.07126325
955,0.030999499999999996,0.24715735386667134,-0.692443,2.0,-0.03158825,0.0147405,0.06842875
956,-0.07001847794117648,0.30660518275548043,-0.714434,1.010642,-0.30757524999999997,-0.0723325,0.14512825000000001
957,-0.10033404044117646,0.30511586341414293,-0.822467,0.98454,-0.32348999999999994,-0.08393500000000001,0.12838425
958,-0.04352511029411765,0.2548960083704025,-0.815468,0.843259,-0.20352625000000002,-0.059857999999999995,0.11783775
959,-0.09453641544117647,0.2908228314500012,-0.897292,1.071356,-0.2935765,-0.1386405,0.07150875000000001
960,-0.02569632720588235,0.21833412768436072,-2.0,0.428819,-0.0367085,0.010602,0.052666000000000004
961,0.010460625000000001,0.29830046285409895,-2.0,2.0,-0.03847,0.0166455,0.082191
962,-0.30165545955882356,0.377927935065637,-1.37003,0.670632,-0.54197,-0.297977,-0.02870675
963,0.016179650735294118,0.28306566067396116,-2.0,2.0,-0.03303025,0.012003,0.0596
964,-0.05794428308823529,0.2957716037781965,-0.962728,0.660704,-0.247077,-0.075345,0.14538175
965,-0.1093927794117647,0.2779928513078352,-1.253795,0.451392,-0.2619885,-0.0892145,0.09344025
966,-0.05504381985294118,0.25987934790105693,-0.842342,0.751754,-0.22768124999999997,-0.041736499999999996,0.106075
967,-0.09921536029411764,0.30939107013938716,-0.871505,0.69434,-0.31914025,-0.139701,0.09221525
968,-0.0964642536764706,0.26345697991363104,-0.966887,0.543379,-0.2976195,-0.13917000000000002,0.10638725
969,-0.03201066911764706,0.2690016836646018,-1.744457,2.0,-0.06989575,0.0002905,0.060319250000000005
970,-0.1211700330882353,0.3227142819765646,-0.897881,1.258928,-0.35363924999999996,-0.186678,0.02934825
971,-0.1602830367647059,0.4486329881526443,-1.262991,0.70528,-0.51549875,-0.0460575,0.19254275
972,-0.2014750073529412,0.30054532431834236,-1.049615,1.531449,-0.29066375,-0.2102915,-0.1265475
973,-0.04283270588235294,0.2545591230124678,-0.666564,0.622903,-0.2279605,-0.029116,0.14683475
974,-0.2196844080882353,0.43656263092049785,-0.878026,1.07607,-0.5522625000000001,-0.358131,0.093445
975,-0.014772838235294117,0.24017960536218946,-2.0,0.878162,-0.03546175,0.009257000000000001,0.0688545
976,-0.13274711764705882,0.3625469822076119,-1.016064,0.956928,-0.428416,-0.123932,0.14114500000000002
977,-0.0210572794117647,0.23208784505229377,-2.0,0.669916,-0.055079499999999997,0.0014954999999999999,0.04825425
978,-0.1382832463235294,0.33485368815951727,-0.811706,1.044188,-0.382266,-0.1806545,0.053973749999999994
979,-0.13363327205882355,0.3226145604740542,-0.785398,1.175538,-0.36213275,-0.223998,0.053575000000000005
980,-0.042295988970588234,0.2746680546074378,-0.662307,2.0,-0.19430150000000002,-0.0965985,0.06824000000000001
981,-0.10340914705882354,0.3424083824661013,-2.0,0.958168,-0.16763950000000002,-0.070301,0.00559575
982,-0.11116837499999999,0.2553752832218186,-0.854392,1.142653,-0.26203475,-0.148624,-0.0167805
983,-0.064017375,0.26194642738607826,-1.054106,0.695099,-0.228587,-0.0591715,0.1216795
984,-0.0697655330882353,0.2590743288729217,-0.952357,0.606008,-0.24404575,-0.042985999999999996,0.11083825
985,-0.0728414705882353,0.2506871668687109,-1.256555,0.526607,-0.20984250000000002,-0.07400899999999999,0.08884875
986,0.0057924080882352956,0.2383059063026334,-2.0,2.0,-0.050207749999999995,0.0049865,0.046865500000000004
987,-0.3743114779411765,0.40421396407759475,-1.087859,1.331045,-0.6633835,-0.4559725,-0.179761
988,0.023335011029411764,0.2254938404711535,-2.0,2.0,-0.03486725,0.019799499999999998,0.08329675
989,-0.16667720220588236,0.33581434361380635,-1.072894,0.621605,-0.40032025,-0.15733000000000003,0.077198
990,-0.3863413933823529,0.5468946657886747,-1.337363,0.958291,-0.8556925,-0.4134045,0.0262895
991,-0.16116507352941176,0.4258531681739047,-1.088639,0.925063,-0.492961,-0.1445995,0.17765125
992,-0.08593217647058823,0.3884513214880432,-1.17917,0.93362,-0.219445,0.007754499999999999,0.16823
993,-0.4553819632352941,0.564559023456718,-1.303183,1.252446,-0.91047475,-0.623983,-0.059733999999999995
994,-0.07662233455882354,0.25570766180767657,-0.653218,0.955064,-0.2456965,-0.13391599999999998,0.04557575
995,-0.1042027536764706,0.26615795724990643,-0.706408,1.28689,-0.21770849999999997,-0.13886700000000002,-0.056642750000000006
996,-0.3936346838235294,0.40654048279367366,-1.065102,1.655579,-0.6529892500000001,-0.48741100000000004,-0.27319825
997,-0.08466034926470589,0.30486078642532394,-0.591504,0.891104,-0.30689975,-0.1373315,0.08518575
998,-0.05494831985294118,0.25210515018147955,-0.826146,0.483817,-0.221307,-0.030635,0.11167999999999999
999,-0.06819362500000001,0.26974788694764534,-0.701466,0.716416,-0.2443245,-0.086131,0.09320775
1000,-0.06478651102941177,0.2552518189956069,-0.950946,0.711086,-0.23253700000000002,-0.09776950000000001,0.06844974999999999
1001,-0.16437212867647058,0.3386119781763513,-0.845031,1.105746,-0.39569075,-0.205985,0.066696
1002,-0.09893521323529411,0.2592971475266872,-0.809948,1.043998,-0.26814725,-0.1133855,0.061692
1003,-0.1216779705882353,0.3238506257102012,-0.918541,0.790982,-0.34268375000000006,-0.15602,0.06379825
1004,-0.008318639705882357,0.2500090601786403,-0.65978,2.0,-0.154326,-0.05401,0.08797725
